SKU;SKU Pai;Imagem 1;Imagem 2;Imagem 3;Imagem 4;Imagem 5;Imagem 6;Imagem 7;Imagem 8;Imagem 9;Imagem 10;Canal
544611-PP;544611;;;;;;;;;;;
544611-P;544611;;;;;;;;;;;
544611-M;544611;;;;;;;;;;;
544611-G;544611;;;;;;;;;;;
544611-GG;544611;;;;;;;;;;;
544611-XG;544611;;;;;;;;;;;
544610;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/14/b4/a5/0e4475bf317efead10a3f526a7.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/b1/64/52/fa3a1d731f3a75fb219529c5f9.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/7a/67/6f/66948e8f0c7967bf9f537d6c74.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/cf/26/ff/0932e0413da1c8fec3ecfe3da9.jpg;;;;;;;Ambiente Demonstrativo
544610-PP;544610;;;;;;;;;;;
544610-P;544610;;;;;;;;;;;
544610-M;544610;;;;;;;;;;;
544610-G;544610;;;;;;;;;;;
544610-XG;544610;;;;;;;;;;;
544608;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/5a/2c/c5/11aa7aa52979c0a230e9ad30ca.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/f5/2f/87/2c71844b60bd5ddffa83ee792a.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/2b/22/6d/348185cb3debdac9b29a847ac6.jpg;;;;;;;;Ambiente Demonstrativo
544607;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/d3/30/db/5ae6900339095fa982cdd02fd4.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/15/06/cb/957e2e3ffbe257584eef24f028.jpg;;;;;;;;;Ambiente Demonstrativo
544606;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/cd/25/df/a84a37b627a6d4252c004960c1.jpg;;;;;;;;;;Ambiente Demonstrativo
;544606;;;;;;;;;;;
;544606;;;;;;;;;;;
;544606;;;;;;;;;;;
KIT-12345;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/c0/5e/83/55f6b6e586100afc9a52a890cf.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/9c/fa/aa/24794a3064ea0e03368a20f423.jpg;;;;;;;;;Ambiente Demonstrativo
544605;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/fe/a4/45/0947ce58e8ec8317bc252d6904.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/c1/58/b8/773fbca70e3818256a9947b265.png;;;;;;;;;Ambiente Demonstrativo
544605-ROSA-LISO-P;544605;;;;;;;;;;;
544605-ROSA-CANELADO-P;544605;;;;;;;;;;;
544605-PRETO-LISO-P;544605;;;;;;;;;;;
544605-PRETO-CANELADO-P;544605;;;;;;;;;;;
544605-ROSA-LISO-M;544605;;;;;;;;;;;
544605-ROSA-CANELADO-M;544605;;;;;;;;;;;
544605-PRETO-LISO-M;544605;;;;;;;;;;;
544605-PRETO-CANELADO-M;544605;;;;;;;;;;;
544605-ROSA-LISO-G;544605;;;;;;;;;;;
544605-ROSA-CANELADO-G;544605;;;;;;;;;;;
544605-PRETO-LISO-G;544605;;;;;;;;;;;
544605-PRETO-CANELADO-G;544605;;;;;;;;;;;
544605-ROSA-LISO-GG;544605;;;;;;;;;;;
544605-ROSA-CANELADO-GG;544605;;;;;;;;;;;
544605-PRETO-LISO-GG;544605;;;;;;;;;;;
544605-PRETO-CANELADO-GG;544605;;;;;;;;;;;
544604;;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/95/3a/8a/e3f328fa68115ed78fdc21b827.jpg;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/7d/37/24/3385b961f77fd8f697fd3e254b.png;;;;;;;;;Ambiente Demonstrativo
;544604;;;;;;;;;;;
;544604;;;;;;;;;;;
;544604;;;;;;;;;;;
;544604;;;;;;;;;;;
;544604;;;;;;;;;;;
;544604;;;;;;;;;;;
544603;;;;;;;;;;;;Ambiente Demonstrativo
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6a/cb/91/ddb0185b40e93569b2ab6da445.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/ae/f2/ba/2b98f603dfa79504f579053c84.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6a/cb/91/ddb0185b40e93569b2ab6da445.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/ae/f2/ba/2b98f603dfa79504f579053c84.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6a/cb/91/ddb0185b40e93569b2ab6da445.png;;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/51/72/85/350c9588475e0af978cd7e92b2.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/ae/f2/ba/2b98f603dfa79504f579053c84.png;;;;;;;;;
;544603;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/66/0b/34/69b2eef108b09dd5ef309eb998.png;https://adaptive-images.uooucdn.com.br/tr:w-1100,h-1594,c-at_max,pr-true,q-88/a6-owc9pq/pv/6a/cb/91/ddb0185b40e93569b2ab6da445.png;;;;;;;;;
